Character,Play,Ambition,Forgiving,Repressed,Action Oriented,Morality,Emotion,Idealism,Chaos,Humor,Romance,Pining,Duty,Loyalty,Power Hunger,Gender,Self-Awareness,Charisma,Intention,Pride,Variance,Description,Archetype/Genre/Grouping Ideas,Notes/Additional Thoughts
Hamlet,Hamlet,4,4,6,3,5,9,7,8,5,4,4,6,6,3,4,10,6,,,7,,,
Ophelia,Hamlet,1,2,4,7,8,9,6,5,4,8,7,8,9,1,9,3,6,,,5,,,
Claudius,Hamlet,9,4,5,8,1,4,2,4,3,4,1,4,2,9,2,7,6,,,4,,,
Gertrude,Hamlet,3,8,5,5,4,6,5,3,3,6,1,5,5,2,9,4,6,,,7,,,
Horatio,Hamlet,2,7,6,4,9,4,6,1,4,5,6,8,10,1,4,7,6,,,4,,,
Macbeth,Macbeth,9,2,4,7,2,8,3,7,1,4,1,4,4,9,3,6,7,,,4,,Ruler (Tyrant?),
Macduff,Macbeth,,,,9,,,,,,,,,,,,,,,,,,,
Lady Macbeth,Macbeth,10,1,3,10,1,7,1,6,1,4,1,3,3,10,10,7,9,,,,,Advisor,
Banquo,Macbeth,4,6,3,5,9,4,6,2,3,2,,8,7,3,5,7,6,,,,,Loyal Friend,
Othello,Othello,6,0,2,9,7,10,8,6,2,9,3,8,4,4,3,2,9,,,,,,
Iago,Othello,7,0,7,8,0,2,0,8,6,1,,2,0,6,4,9,9,,,,,Manipulator,
Desdemona,Othello,1,7,3,4,10,7,10,1,3,10,,7,9,1,10,4,7,,,,,,
Cassio,Othello,5,5,2,4,7,6,7,3,4,5,,7,6,4,2,5,7,,,,,,
King Lear,King Lear,5,3,4,3,5,10,6,8,4,2,,6,6,8,3,2,8,,,,,,
Cordelia,King Lear,2,10,2,2,10,6,9,1,2,5,,9,10,1,,7,7,,,,,,
Goneril,King Lear,9,1,1,7,1,5,1,7,2,4,,2,2,9,,5,7,,,,,,
Regan,King Lear,8,1,1,8,1,6,1,7,2,6,,2,3,8,,3,6,,,,,,
Edmund,King Lear,9,1,5,10,0,4,1,8,5,3,,1,0,9,,8,10,,,,,,
The Fool,King Lear,1,5,3,5,8,6,5,4,10,2,,7,9,1,,9,8,,,,,Fool,
Romeo,Romeo & Juliet,3,4,4,5,6,10,10,5,5,10,,4,6,2,,3,8,,,,,,
Juliet,Romeo & Juliet,4,7,6,9,7,9,10,4,4,10,8,5,8,1,,7,8,,,,,,
Tybalt,Romeo & Juliet,5,3,7,10,4,9,4,6,1,1,,6,7,4,,2,6,,,,,,
Friar Lawrence,Romeo & Juliet,3,6,3,8,5,4,8,5,4,6,,8,7,2,,6,6,,,,,,
Mercutio,Romeo & Juliet,3,5,2,7,6,8,4,8,10,2,,3,7,2,5,6,10,,,,,fool adjacent,
Brutus,Julius Caesar,6,3,10,6,9,6,9,4,3,4,3,9,6,3,3,6,7,,,,,,
Cassius,Julius Caesar,8,5,6,8,4,8,3,6,4,5,7,5,5,6,6,7,5,,,5,,,
Caesar,Julius Caesar,9,6,2,6,5,6,7,4,5,3,2,4,4,9,4,3,9,,,5,,Ruler (Tyrant?),
Mark Antony,Julius Caesar,7,2,2,7,5,9,6,6,5,6,5,6,6,8,4,8,10,,,6,,Fun Guy/Charasmatic Talker,
Antony (A&C),Antony & Cleopatra,5,5,1,5,5,10,7,7,5,10,5,4,5,6,4,4,10,,,6,,,
Octavius,Antony & Cleopatra,10,3,9,9,4,4,6,4,4,2,2,7,5,10,5,9,6,,,6,,,
Cleopatra,Antony & Cleopatra,8,5,1,6,4,10,7,9,7,10,5,5,5,8,7,7,10,,,6,,,
Coriolanus,Coriolanus,7,5,5,7,7,9,4,6,1,3,,8,6,5,,2,6,,,,,,
Volumnia,Coriolanus,9,5,5,8,6,7,3,5,2,1,,8,7,8,9,6,8,,,,,,
Aufidius,Coriolanus,8,3,4,9,4,9,8,6,5,8,9,9,6,6,,5,8,,,5,,,
Troilus,Troilus & Cressida,4,4,3,4,7,10,10,5,3,7,,5,6,3,2,2,6,,,,,,
Cressida,Troilus & Cressida,5,6,5,4,4,7,4,5,6,6,,3,3,3,8,7,8,,,,,,
Achilles,Troilus & Cressida,7,2,2,7,2,7,3,6,4,4,,2,4,8,3,3,8,,,,,,
Odysseus,Troilus & Cressida,9,3,7,8,1,2,3,,,1,,,5,,5,9,,,,,,,
Pandarus,Troilus & Cressida,3,3,1,9,2,5,3,6,9,6,,2,6,2,,5,7,,,,,,
Beatrice,Much Ado About Nothing,6,6,5,7,8,7,7,7,,8,,,8,,8,7,8,,,,,Fun Guy/Charasmatic Talker,
Benedick,Much Ado About Nothing,6,7,5,7,6,8,8,7,,9,,,7,,3,7,8,,,,,Fun Guy/Charasmatic Talker,
Don John,Much Ado About Nothing,9,2,7,7,3,4,3,5,,1,,,1,,,9,2,,,,,,
Hero,Much Ado About Nothing,2,10,4,4,8,9,8,5,,9,,,8,,8,2,5,,,,,,
Orsino,Twelfth Night,4,5,7,5,,,,,,9,,,4,,,1,,,,,,,
Viola,Twelfth Night,4,6,6,4,7,6,6,6,,7,,,6,,6,5,7,,,,,,
Malvolio,Twelfth Night,7,3,8,8,,9,6,5,,9,,,9,,,1,3,,,,,,
Sir Toby Belch,Twelfth Night,4,4,1,6,4,,,6,,7,,,5,,,4,,,,,,,
Maria,Twelfth Night,,2,6,8,,,,,,5,,,6,,,7,,,,,,,
Sebastian,Twelfth Night,5,4,2,1,3,5,6,7,,3,1,,0,,3,2,,,,,,,
Antonio,Twelfth Night,5,8,4,5,8,9,7,4,,9,10,,10,,4,6,,,,,,,
Feste,Twelfth Night,6,5,4,7,3,,5,8,,4,,,3,,5,6,,,,,,,
Olivia,Twelfth Night,5,6,5,,5,8,6,,,8,,,4,,9,4,,,,,,,
Rosalind,As You Like It,5,8,6,,7,6,7,6,,7,7,,5,3,4,5,,,,,,,
Celia,As You Like It,3,7,5,5,7,8,4,5,8,7,2,6,9,1,8,6,8,,,3,,,
Jaques,As You Like It,5,3,7,,3,,2,6,,1,,,1,,5,10,,,,,,,
Orlando,As You Like It,7,10,2,,5,,7,,,9,,,6,,3,3,,,,,,,
Touchstone,As You Like It,4,4,2,,3,,4,8,,5,,,5,,4,3,,,,,,,
Puck,A Midsummer Night's Dream,5,3,2,,2,,4,10,,5,,,8,,5,4,,,,,,,
Bottom,A Midsummer Night's Dream,6,7,2,,,,6,6,,6,,,2,,2,1,,,,,,,
Titania,A Midsummer Night's Dream,7,9,3,,5,,7,4,,7,,,7,,8,6,,,,,,,
Oberon,A Midsummer Night's Dream,7,3,3,,4,,7,6,,8,,,6,,4,6,,,,,,,
Helena,A Midsummer Night's Dream,5,7,5,,5,,4,6,,10,,,10,,7,7,,,,,,,
Prospero,The Tempest,8,,,,2,,5,5,,,,,,,3,,,,,,,,
Angelo,Measure for Measure,9,1,10,,9,,7,6,,,,,,,3,9,,,,,,,
Isabella,Measure for Measure,8,1,10,,10,,3,2,,,,,,,9,4,,,,,,,
Henry V,Henry V,8,3,5,,,,7,6,,7,,,6,,3,6,,,,,,,
Falstaff,Henry IV,6,9,2,,,,3,8,,5,,,10,,3,6,,,,,,Fool (malevolent),
Prince Hal,Henry IV,9,3,6,,,,5,5,,5,,8,2,,4,9,,,,,,,
Kate,Henry IV,4,5,5,7,3,9,3,5,5,9,7,4,8,2,8,4,6,,,4,,,
Poins,Henry IV,4,8,6,4,5,8,6,7,6,7,10,,4,,5,8,,,,,,,
Hotspur,Henry IV,8,2,3,,,,9,8,,3,,,8,,3,2,,,,,,,
Richard III,Richard III,10,0,8,,,,2,9,,2,,,0,,5,10,,,,,,,
Lady Anne,Richard III,,8,4,,,,4,,,4,,,7,,8,,,,,,,,
Buckingham,Richard III,,6,2,,,,8,,,4,,,7,,,4,,,,,,,
Richard II,Richard II,5,1,1,,,,7,8,,8,,,3,,2,4,,,,,,,
Bolingbroke,Richard II,10,3,6,,,,5,4,,4,,,7,,,4,,,,,,,
Henry VI,Henry VI Parts 1 2 & 3,,8,3,,,,,3,,3,,,,,,,,,,,,,
Margaret of Anjou,Henry VI Parts 1 2 & 3,,2,4,,,,,,,7,,,,,,,,,,,,,
Joan of Arc,Henry VI Part 1,,5,8,,,,,,,2,,,,,10,,,,,,,,
